'id','coverage','number_of_frames','scanned','medium','print_type','physical_location','remarks','created','last_modified','collection_id','frame_size_id','scale_id'
'f002c0bb-0204-4bd7-9710-a87baaf8afd9','Partial',200,0,'Print','B&W','Photo Room - King','TURKEY MOUNTAIN','2018-02-07 16:21:49.809184+00','2018-06-11 20:41:38.492034+00','97106212-c86d-4c3d-a772-c1229d8ccc5a','a3b9aa31-af6d-4052-8f73-552545a13e09','037cacd3-584d-4571-adc9-f329f959d251'
'fb655256-1b7c-4f76-a3c1-60db819634b2','Partial',20,0,'Print','B&W','Photo Room - Sherman','','2018-02-07 16:21:51.702122+00','2018-06-11 20:50:18.629321+00','8a36e8b1-67e7-45ca-81bf-87bf40c84426','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'c4e03360-62d4-41f9-8833-d0408ef7ff36','Partial',1,0,'Print','B&W','WF07','','2018-02-07 16:21:50.575502+00','2018-02-07 16:21:50.575496+00','fdc04137-231b-4799-be29-9675c2182ad4','d33fbbee-fad3-48d2-9f85-a7f826409e79','3f608795-4d75-48de-8652-033cf1dfe7b1'
'1447c4c9-6df0-4c68-8c65-fb9b8c4fcc83','Partial',13,0,'Print','B&W','FC 41G','','2018-02-07 16:21:50.936773+00','2018-02-07 16:21:50.936767+00','b1fc6e5b-2f22-4ca0-a316-f79eebbe7454','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'460d0c28-561d-47a4-9a5c-d1051a5d7c7a','Partial',150,0,'Print','B&W','TITUS','MT. PLEASANT','2018-02-07 16:21:51.33978+00','2018-02-07 16:21:51.339773+00','5e0ddcb9-264a-4346-8ae6-4c2256a12a89','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'9c505173-ac20-4d38-89a0-a91565cc7adc','Partial',0,0,'Print','B&W','COLEMAN','','2018-02-07 16:21:52.424412+00','2018-02-07 16:21:52.424406+00','0547f9f4-fd9e-42d4-9696-ed3a7a476ebb','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'b8960c08-0313-4ab9-ab6b-5b0d71eab5f3','Partial',33,0,'Print','B&W','FC 31D','','2018-02-07 16:21:52.786312+00','2018-02-07 16:21:52.786306+00','2231b740-8204-4012-b284-cc53aa744c0e','a3b9aa31-af6d-4052-8f73-552545a13e09','c5ae7759-3ad3-45d5-9d2e-144301ef4e15'
'0d6163fd-b975-41cd-b6cf-59f066513473','Partial',40,0,'Print','B&W','FC 45C','Camp Bowie','2018-02-07 16:21:53.148302+00','2018-02-07 16:21:53.148296+00','59a9e99d-fbdc-4e5e-a2d5-7fe762365d95','a3b9aa31-af6d-4052-8f73-552545a13e09','88549c04-efd3-4688-abf2-ff8f98690e6c'
'c29d90a6-8ce8-4cf0-9ff7-8d43025ba040','Partial',30,0,'Print','B&W','Jefferson','','2018-02-07 16:21:53.551572+00','2018-02-07 16:21:53.551545+00','5017ad2d-b26c-4c4a-8ec2-553940ff72b4','a3b9aa31-af6d-4052-8f73-552545a13e09','bf3e85b0-5aeb-4df2-a0f6-7472ad6f8b44'
'c3f2a84f-7e63-4c83-972c-bfde492ee1b5','Partial',20,0,'Print','B&W','JOHNSON','CLEBURNE STATE PARK','2018-02-07 16:21:53.551572+00','2018-02-07 16:21:53.551545+00','5017ad2d-b26c-4c4a-8ec2-553940ff72b4','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'1dfa407d-2016-47a3-982c-ed625ec08221','Partial',300,0,'Print','B&W','CAMERON','','2018-02-07 16:21:54.073295+00','2018-02-07 16:21:54.073288+00','4d63f3b5-89e6-46a1-a713-180cbb5653fb','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'e58a7963-2b79-4bfb-9099-0362423bf5c2','Partial',0,0,'Print','B&W','FC 41G','Sam Rayburn Reservoir area','2018-02-07 16:21:54.839526+00','2018-02-07 16:21:54.839521+00','22b1b9b0-9e82-4e6c-9d44-b425b9420c1d','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'882159da-6b20-41f4-be41-a323d268194b','Partial',11,0,'Print','B&W','BEXAR','','2018-02-07 16:21:55.563518+00','2018-02-07 16:21:55.563512+00','be7c94ce-a18f-4e0f-be36-28f571ef09bb','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'729cff03-f901-408a-bc77-549f5366c211','Partial',2,0,'Print','B&W','FC31D','North Baffin Bay','2018-02-07 16:21:55.925445+00','2018-02-07 16:21:55.925424+00','90c4efd4-ea44-4ba8-a9dc-45d662f185f8','a3b9aa31-af6d-4052-8f73-552545a13e09','653ed560-7f3b-461d-84a9-0b44e772eb97'
'3e68081d-298d-4cd4-82bb-9dd75a9f9738','Partial',25,0,'Print','B&W','FC31D','South West Galveston Island','2018-02-07 16:21:56.328766+00','2018-02-07 16:21:56.328761+00','757b6879-4813-4547-b500-7bda19d4074c','a3b9aa31-af6d-4052-8f73-552545a13e09','cfaebf2e-c3b9-4fc2-9b33-7c1f66157f83'
'9967ffde-3bdc-4706-8723-e504fe7d8ad4','Partial',20,0,'Print','B&W','FC 45C','Camp Mabry','2018-02-07 16:21:56.734096+00','2018-02-07 16:21:56.73409+00','6bf84d8c-c969-4478-b907-465294777653','a3b9aa31-af6d-4052-8f73-552545a13e09','88549c04-efd3-4688-abf2-ff8f98690e6c'
'76c9651a-8696-4093-a7dc-93449e45eb0a','Partial',100,0,'Print','B&W','WARD','','2018-02-07 16:21:57.099847+00','2018-02-07 16:21:57.099842+00','63cf9a6c-c7f3-46f6-b5ee-336fa4c90151','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'eaefb0a7-f738-42c5-9950-1e153ccd3e8c','Partial',0,0,'Print','B&W','Bastrop','','2018-02-07 16:21:37.309783+00','2018-04-07 21:11:27.599118+00','ddad5b8d-91d5-44ec-ad5a-74d91ea28b58','a3b9aa31-af6d-4052-8f73-552545a13e09','10493d78-14cb-411e-8e7d-9ec2c6488ff3'
'cd928af0-5136-484f-956c-077ee6da79aa','Partial',14,0,'Print','B&W','Photo Room - Franklin','Frames: 1909, 1910, 1911, 3471, 3472, 3596, 3597, 3598','2018-02-07 16:21:54.437787+00','2018-06-26 19:45:51.0759+00','9dcbeac4-3fa6-4ce3-b69f-f9afa2a5284c','a3b9aa31-af6d-4052-8f73-552545a13e09','8e449b77-0c92-48fe-b1aa-0dc9f67377e7'
'6a66b67a-6fbd-4383-aae6-8c0eab86ce8e','Partial',13,0,'Print','B&W','FC31D','Bolivar peninsula/ High Island','2018-02-07 16:21:47.568393+00','2018-06-26 20:17:18.810341+00','afdaa277-d361-4d23-a36c-61da75f019a0','a3b9aa31-af6d-4052-8f73-552545a13e09','57a1bdb1-a364-4f2d-8ad7-52198a40b3ff'
'755fe2a9-75ab-46a9-a4b3-6a8fb1113e77','Partial',66,0,'Print','B&W','FC 45A','Complete County Coverage','2018-02-07 16:21:44.340091+00','2018-06-29 13:51:28.717097+00','a45714ef-514d-4fc5-9039-92066a861793','a3b9aa31-af6d-4052-8f73-552545a13e09','3f608795-4d75-48de-8652-033cf1dfe7b1'
'cdfdd600-e93d-41d4-8452-b8f35180bf47','Partial',442,0,'Print','B&W','FC37F','','2018-02-07 16:21:57.505135+00','2018-02-07 16:21:57.50513+00','d40ea992-3c3c-4a3a-b2e0-38abf521c3aa','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'95c18b69-95fb-46e5-8463-29e75440bf5d','Partial',1,0,'Print','B&W','FAYETTE','Town of La Grange','2018-02-07 16:22:01.927648+00','2018-06-27 21:50:07.028556+00','36595fb3-5e31-4398-89c4-07fac3f1e868','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'55bce60b-4b3e-4ec6-bca3-d20f4fcdbef6','Partial',3,0,'Print','B&W','STARR','RIO GRANDE CITY','2018-02-07 16:21:58.451843+00','2018-02-07 16:21:58.451836+00','e08325cb-5a03-470e-af5d-166fdbee08d0','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'759e729a-e459-486b-aae2-f714bd6c71bb','Partial',477,0,'Print','B&W','FC 46E','','2018-02-07 16:21:59.178132+00','2018-02-07 16:21:59.178113+00','feada9a4-7d53-40a3-8980-285ad137ff57','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'704dbdb6-10c9-445b-9ee3-3400465fbf19','Partial',2,0,'Print','B&W','FC39C','Port Arthur','2018-02-07 16:21:59.580522+00','2018-02-07 16:21:59.580516+00','d9b8931d-6df0-4abb-b9ff-70488f1f62e9','a3b9aa31-af6d-4052-8f73-552545a13e09','ec117934-13dd-4b8d-bf4f-c2ff34ee328c'
'a0edca37-b868-4a8f-b9b5-514a31adb0c3','Partial',25,0,'Print','B&W','ROBERTSON','SH 6','2018-02-07 16:21:59.943031+00','2018-02-07 16:21:59.943025+00','7b2ea27c-ea2f-4a3e-aaa2-7f6f1b66af52','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'28da0944-ade2-4fae-b0a0-66c63fe0a4e8','Partial',100,0,'Print','B&W','CAMERON','','2018-02-07 16:22:00.349023+00','2018-02-07 16:22:00.349017+00','d5077e7c-673b-4438-84c9-b6cab5cff214','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'6df3c57a-470f-4033-a1f7-b4865ed1e8f7','Partial',27,0,'Print','B&W','STARR - Photo Room','','2018-02-07 16:21:58.816509+00','2018-06-29 13:52:07.128632+00','d1a0ef69-feb8-42a7-a28b-ab2b80afc45c','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'c8d70d2d-d103-4de5-a987-5f3755009fae','Partial',1,0,'Print','B&W','BELL','','2018-02-07 16:22:01.56069+00','2018-02-07 16:22:01.560684+00','9df87de3-26bd-4f15-9806-06318d6a0d96','a3b9aa31-af6d-4052-8f73-552545a13e09','3f608795-4d75-48de-8652-033cf1dfe7b1'
'7e88b155-8c79-4a7e-92e2-1ee18f8c276b','Partial',250,0,'Print','B&W','CLAY','','2018-02-07 16:22:02.292776+00','2018-02-07 16:22:02.29277+00','7cc30516-fc5f-474d-a903-3d8234a91f30','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
