"id","remarks","created","last_modified","collection_id"
"45fc33f9-5410-4ed9-a312-6f780fdf41ce","1 line index for El Paso 1979","2018-02-07 16:09:29.398851+00","2018-04-07 20:01:18.537234+00","f165b12f-3413-4921-ab2e-c37adb07ec3f"
"4685efdb-9d10-4012-89ad-773f04353469","Line index for Bexar 1977","2018-02-07 16:09:23.972037+00","2018-04-07 20:15:35.078827+00","0eb32dfa-8956-4d9a-a92f-3845ba2faf41"
"1195effd-d11d-43ed-b182-d4bc7019da9a","1 Line index for Chambers 1970","2018-02-07 16:11:14.377964+00","2018-04-07 20:29:03.991631+00","1c26a932-7de3-4835-bf81-7eb1bd1a1c87"
"77c8870e-8210-43f1-b426-d491c9a08129","1 line index for Gregg 1987","2018-02-07 16:08:39.447509+00","2018-04-07 21:06:27.163436+00","b8abd03c-cf9e-4f86-93fe-cd4489209b4d"
"a152ef22-5937-4dea-a557-d4b143145af6","1 line index for Galveston 1978","2018-02-07 16:10:15.771949+00","2018-04-08 00:05:48.352442+00","f3bd3641-b5d0-482b-86b6-afa4c91e129b"
"4d9b98b5-5b84-4788-838e-105016683fb8","no line index for Gregg Co.","2018-02-07 16:09:15.345868+00","2018-11-16 19:54:35.975799+00","e38d167c-be58-4ece-b4cf-8720ea7f07bd"
"318326ee-48ea-41e3-abf9-ff08d61660f5","1 line index for Hutchinson Co.","2018-02-07 16:12:44.689858+00","2018-12-12 16:24:00.637972+00","39a12cb8-5714-4d0c-84ce-1933c89f802f"
"604739be-28a0-4b08-83a3-8f0bd64cb8ba","Has line index","2018-02-07 16:11:20.149001+00","2018-11-10 15:24:46.897064+00","3d5a43f9-45a9-48c7-886f-f17db052380e"
"72285774-b39a-4ae2-9b32-604b1b14cd41","1 line index for Hood Co.","2018-02-07 16:11:15.02417+00","2018-11-29 15:43:14.047924+00","4e0f8cb9-d739-4d37-b0e6-d2104859e9d0"
"08a17ea8-9740-44bc-93c2-94759538531f","Has line index","2018-02-07 16:08:37.632909+00","2018-11-13 15:41:29.864343+00","2c50d798-871c-4649-a17c-947672335ed1"
"4f97cea8-3e94-4a08-9693-f360140aced0","Has line index","2018-02-07 16:09:07.312828+00","2018-11-13 15:53:25.973291+00","b0babd28-b04e-4e3f-96fe-c3aff6feb33d"
"705035f0-eb24-46df-8b36-a34f51078ed5","No line index","2018-02-07 16:08:55.699698+00","2018-11-13 16:21:12.946358+00","e0e5fc1c-026f-4d54-97a0-8ae075d3901d"
