"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"cb8c8591-b81c-4a02-9e44-846fc2a728c8","1978","1978-01-01","1878-01-01",t,"","2018-11-14 20:45:16.754123+00","2018-11-14 20:45:54.437665+00","ce099562-6847-4de4-ac25-b43372e4dd9c","","","",""
"c6a4b6a3-9a9b-4d68-bf06-a8c3ce2cc4f3","DYJ-1955","1955-09-08","1955-11-18",t,"","2018-02-07 16:19:34.982667+00","2018-12-12 16:57:50.619199+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"fe8a6f3d-96bd-422d-a502-6b85c0345976","CUS-1972","1972-02-13","1972-02-13",t,"","2018-02-07 16:19:38.77728+00","2018-08-27 16:43:25.492517+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"20e15005-9736-4f22-a325-3079aca31e90","296325","1977-02-04","1977-02-04",t,"Bryan/College Station, TDHPT","2018-02-07 16:19:53.472713+00","2018-11-13 16:29:01.455705+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"052c81e3-bdaf-43ce-a38c-74af06d2e79d","DAQ-1943","1943-11-02","1943-11-02",t,"","2018-08-17 19:09:31.335519+00","2018-08-20 20:59:37.576279+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"64867b6b-b7d6-438f-af5e-d7299832e125","CUJ-1974","1974-11-26","1974-11-26",t,"","2018-02-07 16:19:41.435507+00","2018-08-21 22:29:30.330446+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"84edb0df-d023-4f4f-8c5b-d185c62478ad","DBD-1959","1959-10-15","1959-10-15",t,"","2018-02-07 16:19:33.889858+00","2018-08-23 22:44:39.802236+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"ebe81767-8b4b-4016-b34a-b7042265153a","CKT-1955","1955-03-01","1955-03-01",t,"Photo index only","2018-02-07 16:19:38.001983+00","2018-12-18 14:56:02.452633+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"4f96e434-e3cc-4dcf-827a-65b1299d52e3","CGM-1960","1960-11-02","1960-11-02",t,"None
Contains portions of roll 1","2018-02-07 16:19:41.030295+00","2018-11-19 17:35:35.919541+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"bb1c2208-09f3-4577-9430-cca6dd3c291e","CKZ-1958","1958-11-18","1958-11-21",t,"","2018-02-07 16:19:43.028374+00","2018-12-20 13:29:50.166925+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"78010491-e3b7-4560-abc6-cd3cb06e8d18","VDTK","1976-10-05","1976-10-05",t,"","2018-02-07 16:19:47.320527+00","2018-12-12 16:07:59.198019+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"d27901dd-1e67-4fb6-9e1a-eecd1217a552","DMD-1964","1964-11-26","1964-12-13",t,"","2018-02-07 16:19:35.912713+00","2018-12-19 19:58:08.578981+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"8deb34ec-cc64-44f0-9895-1423b8d361db","CKU-1940","1940-01-30","1940-04-12",t,"","2018-02-07 16:19:54.522774+00","2018-12-17 21:19:13.891586+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
