zipped_by_area_type_id,zipped_by_area_type,zipped_by_area_type_name,created,last_modified,orig_data_download_id
9f6224ec-cf40-46f5-9cde-cb49e16a1bbe,qquad,Morris Ranch|SW,2018-07-03 07:58:54.673490,2018-07-03 07:58:54.673491,15560
a5a25fc1-a7ee-4f11-b6f0-0a23e70becd2,qquad,Morris Ranch|NE,2018-07-03 07:58:54.673519,2018-07-03 07:58:54.673520,15561
fc6dccf5-c1b3-419c-8870-b07d47f4367f,qquad,Morris Ranch|SE,2018-07-03 07:58:54.673547,2018-07-03 07:58:54.673548,15562
184d534d-d8ef-4944-b13c-8a8ab81751f3,qquad,Morris Ranch|NW,2018-07-03 07:58:54.673575,2018-07-03 07:58:54.673576,15563
0d474068-21e6-4d0f-9216-ac894f67a966,qquad,Morse|NE,2018-07-03 07:58:54.673604,2018-07-03 07:58:54.673605,15564
af17943d-6252-4e7f-8a99-8a007a34fc18,qquad,Morse|NW,2018-07-03 07:58:54.673660,2018-07-03 07:58:54.673662,15565
607feaef-d779-4806-acdb-6156b691050f,qquad,Morse|SW,2018-07-03 07:58:54.673690,2018-07-03 07:58:54.673691,15566
4900c708-1d04-4a1c-ada3-8e05ffa7f5e6,qquad,Morse|SE,2018-07-03 07:58:54.673719,2018-07-03 07:58:54.673720,15567
ebf8d090-6c7b-4a5d-b8c8-ece26ec2065c,qquad,Morse SE|SE,2018-07-03 07:58:54.673746,2018-07-03 07:58:54.673747,15568
08b17d9c-91fb-4bbe-b172-c58d8bc40efa,qquad,Morse SE|NW,2018-07-03 07:58:54.673775,2018-07-03 07:58:54.673776,15569
ee432560-d466-4c3d-9b27-3ff45bbeb778,qquad,Morse SE|NE,2018-07-03 07:58:54.673807,2018-07-03 07:58:54.673808,15570
aa516f60-edd4-4bb4-ba1f-335c7fd2b5b7,qquad,Morse SE|SW,2018-07-03 07:58:54.673837,2018-07-03 07:58:54.673838,15571
837da12d-f744-42c6-8571-bf1e694f8638,qquad,Morton|NW,2018-07-03 07:58:54.673866,2018-07-03 07:58:54.673867,15572
f6a56daa-7ec6-4b5b-b850-df2bad27b83f,qquad,Morton|SW,2018-07-03 07:58:54.673893,2018-07-03 07:58:54.673894,15573
a52f6f30-96c4-4368-abb8-8723292e822a,qquad,Morton|SE,2018-07-03 07:58:54.673923,2018-07-03 07:58:54.673924,15574
ea3974ea-bcc4-4d99-886d-491d711e8422,qquad,Morton|NE,2018-07-03 07:58:54.673952,2018-07-03 07:58:54.673953,15575
a9b12285-12f7-4524-8b2a-d13a9d0c21f8,qquad,Morton NW|SW,2018-07-03 07:58:54.673981,2018-07-03 07:58:54.673982,15576
c1b0d145-abf1-4e15-9f53-c46ab963d1e0,qquad,Morton NW|SE,2018-07-03 07:58:54.674010,2018-07-03 07:58:54.674011,15577
b62b7beb-5b5a-4d7e-8b88-fb0ba745dc1d,qquad,Morton NW|NW,2018-07-03 07:58:54.674039,2018-07-03 07:58:54.674040,15578
a1b4ee27-92b6-4da4-965a-c5f00eafd09a,qquad,Morton NW|NE,2018-07-03 07:58:54.674069,2018-07-03 07:58:54.674070,15579
1b06874b-9fae-40a2-b17c-b2bab8bc4c76,qquad,Morton SW|SW,2018-07-03 07:58:54.674098,2018-07-03 07:58:54.674099,15580
da487b3b-fdb7-4d49-9437-598a471f60a1,qquad,Morton SW|NE,2018-07-03 07:58:54.674127,2018-07-03 07:58:54.674128,15581
84536a4c-b553-43d0-9f6d-acd348981146,qquad,Morton SW|SE,2018-07-03 07:58:54.674157,2018-07-03 07:58:54.674158,15582
61b00832-bf98-411e-8f9b-e15bd2e12a50,qquad,Morton SW|NW,2018-07-03 07:58:54.674185,2018-07-03 07:58:54.674186,15583
6398f382-c6fd-4396-ab66-7bd45dd3375c,qquad,Moser Ranch|NW,2018-07-03 07:58:54.674214,2018-07-03 07:58:54.674215,15584
2e8dfc6f-d4b8-493c-9f2c-48b139dc1e54,qquad,Moser Ranch|SW,2018-07-03 07:58:54.674244,2018-07-03 07:58:54.674245,15585
3ca6b2f9-96cf-4330-ae4c-4c4ed66e232e,qquad,Moser Ranch|NE,2018-07-03 07:58:54.674274,2018-07-03 07:58:54.674275,15586
