band_relate_id,created,last_modified,band_type_id,collection_id
ff8ca594-e007-4005-9ca4-5ece5d007982,2018-07-30 15:13:09.550859,2018-07-30 15:13:09.550865,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,bfb21c12-a2e9-4f00-b1e9-3ad71f15f2f6
3494622b-ae52-4fbc-a28e-4ab941325e9f,2018-07-30 15:13:09.550976,2018-07-30 15:13:09.550982,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,d1fde7dc-0b57-4357-b476-8e7f85d75c1b
b1ff42e5-476e-41be-98bf-495fab18d6b6,2018-07-30 15:13:09.551015,2018-07-30 15:13:09.551021,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,d1fde7dc-0b57-4357-b476-8e7f85d75c1b
7a4ec13e-c82a-4d69-adc0-fa9123bdb52f,2018-07-30 15:13:09.551080,2018-07-30 15:13:09.551086,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,8375995a-0423-488c-9e3b-5bf76cdccf8f
c1fadbf5-2ea6-46c1-b0fb-3183405de219,2018-07-30 15:13:09.551183,2018-07-30 15:13:09.551190,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,1b7cf97b-1e2f-4a90-935e-982e7aa59e0e
a121fb61-6f98-461d-8292-4774faca6220,2018-07-30 15:13:09.551419,2018-07-30 15:13:09.551426,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,c04085c5-1e1d-43b8-ac4a-6a281fc16317
0a6986a5-57e8-40f3-9b9b-e96c1f392f5a,2018-07-30 15:13:09.551514,2018-07-30 15:13:09.551520,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,e334f6b6-8440-43c4-8b2c-17fc713d315c
42928847-7342-489f-8d8b-b83e52fabe4f,2018-07-30 15:13:09.551550,2018-07-30 15:13:09.551556,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,e334f6b6-8440-43c4-8b2c-17fc713d315c
fda0c491-0151-4094-b00d-e7558d9e7155,2018-07-30 15:13:09.552038,2018-07-30 15:13:09.552045,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,20ec43fd-c276-4410-9ab9-e5dc62ff1e83
9958dce7-1c6d-42d9-b194-31aea03759df,2018-07-30 15:13:09.552275,2018-07-30 15:13:09.552281,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,9e508f50-ced4-4f37-9ec9-18fe2e1ff9b8
04b1ec8f-42bd-417b-a48c-c04ecb0dcf5d,2018-07-30 15:13:09.552361,2018-07-30 15:13:09.552367,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,8cb0dea3-72c1-4e77-b57b-151b10b07136
e6d8bcf3-c82c-466c-8c63-9430413879e3,2018-07-30 15:13:09.552507,2018-07-30 15:13:09.552514,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,28f3ddd4-c6e8-4124-bc16-029a7dbe96e5
4f710f32-1d21-49e1-b7ec-bab6cfca9138,2018-07-30 15:13:09.552704,2018-07-30 15:13:09.552711,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,e8a9bba2-b219-47a7-be04-ff6493363c27
3c385170-597c-4a83-b1ce-eb4713b00c71,2018-07-30 15:13:09.552741,2018-07-30 15:13:09.552746,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,e8a9bba2-b219-47a7-be04-ff6493363c27
e58ce1b2-f326-4819-81c3-336b5278d912,2018-07-30 15:13:09.552985,2018-07-30 15:13:09.552991,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,df508fc6-c18a-4044-b0f7-35f3b9f64c02
f280b6de-6a54-4579-a49a-2695b81b1f58,2018-07-30 15:13:09.553161,2018-07-30 15:13:09.553168,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,3ae404a0-f976-4064-9d3e-81e5a719ca3c
659d2731-319f-4753-9b6e-56b60e7dc150,2018-07-30 15:13:09.553198,2018-07-30 15:13:09.553203,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,3ae404a0-f976-4064-9d3e-81e5a719ca3c
c396215f-d245-4c1f-b5d0-6a423fc6daa7,2018-07-30 15:13:09.553401,2018-07-30 15:13:09.553408,09f7a8d7-0ce5-4046-b22d-f6c706e3dc18,52882402-db53-44cd-8c61-5a00a6ecec3d
933cd8f5-8838-4b02-89b8-185986c48f70,2018-07-30 15:13:09.553613,2018-07-30 15:13:09.553620,095105ee-1810-4697-b1f9-7d2ff3cf0e9a,bfdb7a76-a36c-4e9b-ba18-e8c8b259ed91
