use_relate_id,created,last_modified,collection_id,use_type_id
97b9c028-c7e6-400f-a787-639c155525fc,2018-07-31 11:50:02.978301,2018-07-31 11:50:02.978304,a0ca4670-a7c5-46b0-86a3-02b493a2b495,eb55fbd2-5848-4f54-b67c-81c5f01383dc
df126587-f10f-48bc-95ec-af9eb7cf70f1,2018-07-31 11:50:02.978429,2018-07-31 11:50:02.978431,7ac77b5e-6127-4db4-8499-fa3020f37ab5,4562297f-0362-4c49-97be-096eb2fa4107
3a03a663-1cc1-43b2-8358-4567300baa33,2018-07-31 11:50:02.978479,2018-07-31 11:50:02.978481,7ac77b5e-6127-4db4-8499-fa3020f37ab5,eb55fbd2-5848-4f54-b67c-81c5f01383dc
c5d37e50-cb9d-483d-8c4d-e74a28781b26,2018-07-31 11:50:02.978614,2018-07-31 11:50:02.978617,85d8fb09-cc72-442f-9b44-287ed8079dbc,4562297f-0362-4c49-97be-096eb2fa4107
e0078fcc-f576-4130-9f88-402d5f35cd3f,2018-07-31 11:50:02.978740,2018-07-31 11:50:02.978743,837f9c46-0a41-4c59-99f9-cdda4ad4c9f1,4562297f-0362-4c49-97be-096eb2fa4107
eb778e94-4cf3-4829-9477-c2d8336a9084,2018-07-31 11:50:02.978877,2018-07-31 11:50:02.978879,74e51b5d-a77f-42e6-b6ee-9826101afb59,4562297f-0362-4c49-97be-096eb2fa4107
8979c02d-e2b0-4df8-9cce-ecc5c39ef8c7,2018-07-31 11:50:02.979002,2018-07-31 11:50:02.979005,466e48ab-0d43-4593-a8b1-27a6021293fe,750abda0-d147-4ffe-ad38-cd576395e38b
d0b15ed3-4c73-47c6-959a-37fadbe13ca0,2018-07-31 11:50:02.979084,2018-07-31 11:50:02.979086,466e48ab-0d43-4593-a8b1-27a6021293fe,c912f1b2-2cbb-4af0-b222-37b4a6012649
4a0e0374-7924-4f76-b0a3-7b8e1a63bb07,2018-07-31 11:50:02.979133,2018-07-31 11:50:02.979135,466e48ab-0d43-4593-a8b1-27a6021293fe,1ea95e8e-80d3-4fa0-aaea-299a29238797
8934d3b8-8aa6-4269-8709-f8ffdc96b421,2018-07-31 11:50:02.979250,2018-07-31 11:50:02.979251,7684fbd6-fd02-49a2-abfd-1525cbb1f572,4562297f-0362-4c49-97be-096eb2fa4107
32f367b9-7fec-4900-9f8d-ad22e31a8d05,2018-07-31 11:50:02.979303,2018-07-31 11:50:02.979304,7684fbd6-fd02-49a2-abfd-1525cbb1f572,eb55fbd2-5848-4f54-b67c-81c5f01383dc
9829db1c-03a8-4f8f-b265-1a25628084e9,2018-07-31 11:50:02.979451,2018-07-31 11:50:02.979453,ccca3364-5df8-45ce-aac6-a429cafc9c65,4562297f-0362-4c49-97be-096eb2fa4107
5a9a132d-c0c1-4c5d-a385-c3f46f04587b,2018-07-31 11:50:02.979502,2018-07-31 11:50:02.979504,ccca3364-5df8-45ce-aac6-a429cafc9c65,eb55fbd2-5848-4f54-b67c-81c5f01383dc
8698a602-260c-46ec-945d-fd0fff6732ee,2018-07-31 11:50:02.979552,2018-07-31 11:50:02.979554,ccca3364-5df8-45ce-aac6-a429cafc9c65,5e04c177-67d2-4166-81ac-d5a8ae6393d1
3ad8dc4f-a8a5-453c-a7c2-35789d55ba0e,2018-07-31 11:50:02.979671,2018-07-31 11:50:02.979673,11aef507-0ce2-40aa-a381-aad25c0cda3c,4562297f-0362-4c49-97be-096eb2fa4107
75aae510-6473-4f44-8829-5aca5ae43929,2018-07-31 11:50:02.979817,2018-07-31 11:50:02.979819,d4c33e51-6871-4395-8eb1-3c752bb51221,4562297f-0362-4c49-97be-096eb2fa4107
5bfd5165-93e3-488b-b26e-63a56edfb820,2018-07-31 11:50:02.979948,2018-07-31 11:50:02.979951,d9f379cf-218a-4e0f-9578-e2d82b82b156,4562297f-0362-4c49-97be-096eb2fa4107
cc782918-fcde-4a95-b67a-64541468c5c0,2018-07-31 11:50:02.979997,2018-07-31 11:50:02.979999,d9f379cf-218a-4e0f-9578-e2d82b82b156,eb55fbd2-5848-4f54-b67c-81c5f01383dc
7c7ef0eb-8667-4b2d-9a47-7fc8c70912a8,2018-07-31 11:50:02.980130,2018-07-31 11:50:02.980133,a665d1fe-47f4-497c-b467-bb1535a02c9d,4562297f-0362-4c49-97be-096eb2fa4107
c2bead30-6e78-4d31-bdd2-996b847d84d3,2018-07-31 11:50:02.980281,2018-07-31 11:50:02.980284,1baff523-b18d-46b8-81bb-c8153edc8a92,750abda0-d147-4ffe-ad38-cd576395e38b
