"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","ls4_link","mosaic_service_url"
"d1ba4cee-2a67-4c38-879a-dca05f6329a6","148","1954-11-17","1954-11-26",t,"","2018-02-07 16:11:47.682474+00","2018-06-26 20:14:27.027893+00","4c8f450b-e13b-4248-b9fe-769f83c581d6","","","",""
"e8d9b8ad-d8a0-4608-bba2-5193220f8cf4","VBWN","1968-01-23","1968-01-23",t,"","2018-02-07 16:12:15.777743+00","2018-06-28 12:53:43.193151+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"269e2314-936f-4fa1-9487-a26defec2506","VBWM","1968-02-04","1968-02-04",t,"","2018-02-07 16:11:55.015384+00","2018-06-28 12:53:53.766103+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"c68d5182-77ab-47c4-82d4-b51c62b23b08","DWS-TR","1972-03-22","1972-03-22",t,"Hildebrand","2018-02-07 16:12:03.413303+00","2018-06-29 13:54:00.90011+00","a41dd2e0-aaf0-4281-a253-0b7182bdfa27","","","",""
"6fa3f93b-a296-4d86-bfbd-c17caf5ef0a4","CXC","1941-06-04","1941-06-04",t,"","2018-02-07 16:11:51.96656+00","2018-06-29 14:27:09.736794+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"3252b542-a68e-419b-b900-af4c4a3e5147","CKW","1962-01-27","1962-02-16",t,"","2018-02-07 16:11:56.553125+00","2018-06-29 19:18:06.379558+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"c8a53be1-f017-4ebf-905c-44b442a81ab4","347557","1981-09-29","1981-09-29",t,"None
","2018-02-07 16:12:04.376302+00","2018-02-07 16:12:04.376267+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"383813d4-5ee4-4736-bf4d-5bfa71e21be2","DAP-1937","1937-01-01","1937-01-01",t,"None
N/A","2018-02-07 16:12:06.048641+00","2018-02-07 16:12:06.048589+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"b1caac55-c091-4da7-a603-24f1262ab3e3","262582","1974-06-15","1974-07-15",t,"None
Contains portions of rolls 1-21. Corpus urban
Contains portions of rolls 1-21.Corpus Christi Urban","2018-02-07 16:12:06.87937+00","2018-02-07 16:12:06.879346+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"f3036923-8fc4-429b-b7d1-535bff467791","CGW-1960","1960-03-09","1960-05-01",t,"None
Contains Portions of Rolls 1
PHOTO INDEX
Contains Rolls 1 - 7.","2018-02-07 16:12:11.567132+00","2018-02-07 16:12:11.56711+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"2bf5062e-9b2c-4047-a49a-8110d82b473b","VCJZ","1970-01-31","1970-02-01",t,"","2018-02-07 16:12:07.7976+00","2018-06-29 19:49:51.080929+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"9aa7d62c-3c7b-4247-add9-de8a972916fc","CFX-1939","1939-07-17","1939-11-01",t,"None
Marked as Marion County but mission code is for Harrison.  Flown by Tobin for the USDA.
N/A
Photo Index","2018-02-07 16:12:15.156793+00","2018-02-07 16:12:15.156772+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"2210bf6d-a6f5-4b64-aa45-c8cb8909e213","CLD-1967","1967-01-11","1967-01-11",t,"None
PHOTO INDEX","2018-02-07 16:12:16.528806+00","2018-02-07 16:12:16.528774+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"54126a0d-fee6-49d0-b213-3f56e953a90b","295121","1976-12-02","1976-12-02",t,"None
144","2018-02-07 16:12:12.779995+00","2018-03-01 22:13:06.408271+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"6f6ebe02-15f4-43b7-8cf1-7206449f83e5","335423","1979-12-06","1979-12-06",t,"","2018-02-07 16:11:44.639897+00","2018-04-07 15:57:23.707842+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"ec076686-e57c-424c-a8fd-700375794a05","AXA-1974","1974-01-16","1974-01-16",t,"","2018-02-07 16:12:07.462818+00","2018-04-07 15:16:08.352911+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"8db0f331-f700-4889-acbf-4611ca66a37a","CXB-1951","1951-01-15","1951-02-07",t,"","2018-02-07 16:11:42.064964+00","2018-04-07 16:58:33.880112+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"78167c4c-e6dd-4c3c-aa6c-6f7a69d57b4b","BRI-1959","1959-02-06","1959-02-15",t,"","2018-02-07 16:12:16.871409+00","2018-04-07 17:44:35.993605+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"0683ecd2-fd8c-43c7-9acb-817c9b9bb693","DAG-1965","1965-10-28","1965-11-30",t,"","2018-02-07 16:11:42.852085+00","2018-04-07 20:39:55.873965+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"497ef5dc-6dc6-445a-b29f-cf8c1f717125","VCDV","1970-05-19","1970-08-08",t,"","2018-02-07 16:11:58.845346+00","2018-06-29 19:50:50.985237+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"a76a6783-2ed1-4c4d-ba52-34c80cbfb37b","CCA-1951","1951-02-06","1951-02-07",t,"","2018-02-07 16:12:09.964169+00","2018-04-07 21:40:45.556996+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"395d6a49-693c-406e-81ae-b8a2a951a72f","48453-1973","1973-01-18","1973-01-18",t,"","2018-02-07 16:12:12.192575+00","2018-04-07 21:37:58.755781+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"d6377f92-2f74-4354-8bd9-1916abf86e46","CUO-1963","1963-11-07","1963-11-07",t,"None
Major Ciites; Contains portions of rolls 1-3.
PHOTO INDEX","2018-02-07 16:11:45.723087+00","2018-04-10 18:32:52.314868+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"770d02bc-353c-41c8-b614-80dfa496dfab","VEGW","1976-10-06","1976-10-06",t,"","2018-02-07 16:11:48.518889+00","2018-04-10 18:47:10.976877+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"7907f75f-826a-4a18-a3e5-42e2e7e77c14","NHAP","1981-11-02","1981-11-02",t,"None
EXAMPLE","2018-02-07 16:12:00.558025+00","2018-04-10 18:48:05.363477+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"2701de05-102d-4c32-b495-9dd56aeeab96","CUM-1963","1963-10-15","1963-10-15",t,"","2018-02-07 16:11:41.404023+00","2018-04-24 21:17:07.578005+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"baf95b60-ffe5-461f-9bae-51e381e7b3d5","VAKR","1962-03-01","1962-03-01",t,"","2018-02-07 16:11:59.596939+00","2018-04-24 21:23:24.878926+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"cb69419d-33d5-4ee6-b07e-45bf08a9dfa2","VABR","1960-01-08","1960-01-08",t,"","2018-02-07 16:11:47.262216+00","2018-05-02 12:04:30.816338+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"9b7d7c83-c1c8-46b8-9ba5-47313b54568d","VBCO","1965-01-17","1965-01-17",t,"None","2018-02-07 16:12:13.326071+00","2018-05-09 13:55:08.401623+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"085de0cd-7a0d-40bd-aef1-bcf4391ef2fe","VEOE","1978-12-04","1978-12-04",t,"","2018-02-07 16:11:56.969288+00","2018-06-05 15:16:29.210079+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"4c39409a-b49c-41e0-b697-91881c1896ee","VEBS","1976-02-26","1976-02-26",t,"","2018-02-07 16:11:53.424817+00","2018-06-05 15:19:38.05944+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"6512e345-c4a7-4c3a-9ef2-0aedefee3b30","VEBQ","1976-01-08","1976-01-08",t,"","2018-02-07 16:11:57.888166+00","2018-06-05 15:20:01.688529+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"d8d14a17-c24f-4b48-8505-e18fb0401b5d","VEOJ","1979-03-04","1979-05-04",t,"","2018-02-07 16:12:03.788835+00","2018-06-05 15:39:31.989617+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"dd8c0526-5fa1-4d5a-93d7-bc63a11d8758","VCKB","1970-03-09","1970-03-09",t,"","2018-02-07 16:11:50.690122+00","2018-06-05 16:27:40.044143+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"088ebd0f-8fc6-4bda-9747-c40a0f43df22","VBWQ","1968-02-06","1968-02-06",t,"","2018-02-07 16:11:52.716832+00","2018-06-05 16:30:59.194736+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"16e7a54f-40f9-4243-a7b9-64596737807d","VBBE","1965-01-26","1965-01-26",t,"","2018-02-07 16:11:55.76371+00","2018-06-05 16:42:03.592754+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"d5049655-3c7e-454d-a098-edb27b1e3cb1","VACW","1960-12-11","1960-12-11",t,"","2018-02-07 16:12:10.463793+00","2018-06-05 16:49:35.037154+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"459e3a69-16df-46f1-a251-a72278c99977","CKX","1962-01-28","1962-01-28",t,"","2018-02-07 16:12:01.129961+00","2018-06-29 20:32:43.671327+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"f0a339ff-55a8-4b8f-aa1a-f4099ac8587f","CKW-1961","1961-01-09","1961-01-30",t,"","2018-02-07 16:12:06.380365+00","2018-07-20 18:26:10.566138+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"4acef4f8-7966-4de6-b897-ef5f6d39ccbc","BQZ-1952","1952-09-26","1952-10-10",t,"","2018-02-07 16:12:09.42187+00","2018-07-20 19:06:15.375629+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"68beb8a9-3fbc-49a8-ae15-0466c27c0497","VDDU","1973-01-18","1973-01-18",t,"","2018-02-07 16:12:28.517697+00","2018-06-07 16:21:55.765833+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"5553b6be-5bc1-4377-82fe-2ee89038e355","VCWH","1971-11-24","1971-11-24",t,"","2018-02-07 16:12:17.501738+00","2018-06-07 16:25:51.965285+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"002cb9c7-5ba6-4e20-9fdc-1b20447f35bc","358167","1985-11-05","1986-01-19",t,"None

PHOTO INDEX","2018-02-07 16:12:20.984837+00","2018-02-07 16:12:20.984815+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"317f1884-9a45-449e-8e0c-8e4ab1fb6813","DCA-1955","1955-01-01","1955-01-16",t,"None
N/A
PHOTO INDEX","2018-02-07 16:12:21.937948+00","2018-02-07 16:12:21.937928+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"f8becf39-b8ba-4deb-8e6c-ea3a17d98c0e","297064","1976-11-30","1977-01-20",t,"None
18-691
PHOTO INDEX","2018-02-07 16:12:22.352324+00","2018-02-07 16:12:22.352275+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"2c60c37f-a165-43d0-8c34-25182a3f54ec","CKU-1968","1968-10-17","1968-10-25",t,"None
Contains portions of rolls 1-3.
PHOTO INDEX","2018-02-07 16:12:23.471651+00","2018-02-07 16:12:23.471631+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"5fb884a3-8baa-4b27-8591-3bb52431e62c","VAHF","1961-10-03","1961-10-03",t,"","2018-02-07 16:12:52.131625+00","2018-06-07 21:37:43.670898+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"f7673da6-cd0f-4ac0-9e8a-cf412e05ba49","360804","1987-11-20","1990-10-30",t,"None
Rolls 1-16.
PHOTO INDEX
Preliminary
PHOTO INDEX
PHOTO INDEX
PHOTO INDEX
PHOTO INDEX
PHOTO INDEX
PHOTO INDEX
PHOTO INDEX

PHOTO INDEX




n/a
2nd folder missing
n/a
N/A","2018-02-07 16:12:24.55422+00","2018-02-07 16:12:24.554187+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"09182eb1-4539-43c4-9124-3816081b67a9","351260","1983-01-10","1983-01-10",t,"None
Victoria","2018-02-07 16:12:27.916384+00","2018-02-07 16:12:27.916362+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"f98fbdc2-c47e-412a-bc23-4bc078ad43e5","VABI","1960-03-08","1960-03-08",t,"","2018-02-07 16:12:31.888665+00","2018-06-07 21:40:30.546599+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"8c5d8313-3760-447c-9693-42b8098762aa","287511","1976-11-06","1976-11-06",t,"None
","2018-02-07 16:12:31.095613+00","2018-02-07 16:12:31.095578+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"efcafd07-35fb-483d-b938-66751689a36c","N/A","1972-02-13","1972-02-13",t,"None
","2018-02-07 16:12:34.349964+00","2018-02-07 16:12:34.349931+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"1a1e1f71-7992-4c8f-b42d-813f0698316a","SWGZ","1973-06-24","1973-06-24",t,"","2018-02-07 16:12:48.702044+00","2018-06-07 21:42:47.096922+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"2fb148bf-c32b-4ed6-ab6f-f890a700ea64","CKR-1940","1940-03-01","1940-03-01",t,"None
N/A","2018-02-07 16:12:36.516145+00","2018-02-07 16:12:36.516125+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"6e11e1b2-eeb6-4d8d-993c-1e6ccb6a3119","CGU","1958-04-01","1958-04-01",t,"","2018-02-07 16:12:46.726024+00","2018-06-11 15:46:49.051097+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"2f31817e-2afa-4c95-a090-7258cb395671","CVE-1936","1936-07-24","1936-07-24",t,"None
PHOTO INDEX","2018-02-07 16:12:37.469027+00","2018-02-07 16:12:37.46899+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"f5075f2f-99e2-47de-9b73-4d55f65b47dc","CGN-1969","1969-03-18","1969-03-18",t,"None
PHOTO INDEX
Contains portions of rolls 1-4.","2018-02-07 16:12:37.801881+00","2018-02-07 16:12:37.801833+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"91a9d3e2-952f-4db2-9cc1-93a977740ea7","CKI","1961-02-04","1961-11-04",t,"","2018-02-07 16:12:47.932236+00","2018-06-11 15:52:37.663877+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"40fd6f1f-7991-488f-9364-86232601e70d","VEJP","1977-03-24","1977-03-24",t,"Contains the following frames: Roll 1: 14-22
Contains the following frames: Roll 1: 14-22
Contains the following frames: Roll 1: 14-22
Contains the following frames: Roll 1: 14-22","2018-02-07 16:12:39.361745+00","2018-06-28 12:50:43.792869+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"e801c4db-7e68-43e3-aebb-04157cf2568e","VDTM","1975-09-02","1975-09-02",t,"","2018-02-07 16:12:30.349432+00","2018-06-28 12:52:59.216985+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
